escolas;manha;tarde;noite
CMEI ANA ROSA FALCAO DE CARVALHO;2;1;0
CMEI DOUTOR ALBERICO DORNELAS CAMARA;1;1;0
CONVENIADA CENTRO EDUCACIONAL CRECHE VOVO ROSA;1;0;0
CRECHE ESC.RECIFE CMEI DARCY RIBEIRO;0;1;0
CRECHE ESC.RECIFE CRECHE ESCOLA DEPUTADO ALCIDES TEIXEIRA;3;0;0
CRECHE ESC.RECIFE CRECHE ESCOLA RECIFE ALTO DO MANDU;1;0;0
CRECHE ESC.RECIFE DO PILAR;0;2;0
CRECHE ESC.RECIFE SERGIO LORETO;1;1;0
CRECHE ESC.RECIFE SITIO DO CARDOSO;0;1;0
CRECHE MUNICIPAL CRECHE MUNICIPAL CEAPE;1;0;0
CRECHE MUNICIPAL PROFESSOR FRANCISCO DO AMARAL LOPES;1;0;0
ESCOLA MUNICIPAL ALMIRANTE SOARES DUTRA;3;2;0
ESCOLA MUNICIPAL ANDRE DE MELO;1;2;0
ESCOLA MUNICIPAL ANTONIO FARIAS FILHO;0;1;0
ESCOLA MUNICIPAL ANTONIO HERACLIO DO REGO;0;1;2
ESCOLA MUNICIPAL ARRAIAL NOVO DO BOM JESUS;3;3;0
ESCOLA MUNICIPAL CAMPINA DO BARRETO;7;2;0
ESCOLA MUNICIPAL CARLUCIO DE SOUZA CASTANHA JUNIOR;1;1;0
ESCOLA MUNICIPAL CELIA ARRAES;1;1;0
ESCOLA MUNICIPAL CHICO MENDES;0;1;0
ESCOLA MUNICIPAL CICERO FRANKLIN CORDEIRO;2;0;0
ESCOLA MUNICIPAL CIDADAO HERBERT DE SOUZA;1;0;0
ESCOLA MUNICIPAL COMPOSITOR CAPIBA;1;0;0
ESCOLA MUNICIPAL COMPOSITOR LEVINO FERREIRA;1;1;0
ESCOLA MUNICIPAL CORREGO DO EUCLIDES;0;1;0
ESCOLA MUNICIPAL CREUSA DE FREITAS CAVALCANTI;0;3;0
ESCOLA MUNICIPAL CRISTIANO CORDEIRO;3;1;0
ESCOLA MUNICIPAL DA GUABIRABA;0;1;0
ESCOLA MUNICIPAL DA IPUTINGA;6;12;0
ESCOLA MUNICIPAL DA MANGABEIRA;1;0;0
ESCOLA MUNICIPAL DARCY RIBEIRO;2;1;0
ESCOLA MUNICIPAL DE AGUA FRIA;1;2;0
ESCOLA MUNICIPAL DE AGUA FRIA - ANEXO;1;1;0
ESCOLA MUNICIPAL DE BEBERIBE;2;5;0
ESCOLA MUNICIPAL DE CASA AMARELA;0;4;0
ESCOLA MUNICIPAL DE TEJIPIO;0;1;1
ESCOLA MUNICIPAL DEOCLECIANO OLIVEIRA DE LIMA;0;3;0
ESCOLA MUNICIPAL DIACONO ABEL GUEIROS;1;2;0
ESCOLA MUNICIPAL DINA DE OLIVEIRA;1;0;0
ESCOLA MUNICIPAL DIVINO ESPIRITO SANTO;4;4;0
ESCOLA MUNICIPAL DO BARRO;1;0;0
ESCOLA MUNICIPAL DO COQUE;0;2;0
ESCOLA MUNICIPAL DOM BOSCO;1;6;0
ESCOLA MUNICIPAL DOM HELDER CAMARA;4;0;0
ESCOLA MUNICIPAL DOUTOR EBENEZER GUEIROS;4;2;0
ESCOLA MUNICIPAL DOUTOR RODOLFO AURELIANO;7;3;6
ESCOLA MUNICIPAL EDITE BRAGA;0;1;1
ESCOLA MUNICIPAL EDUCADOR PAULO FREIRE;1;0;0
ESCOLA MUNICIPAL ENGENHEIRO EDINALDO MIRANDA DE OLIVEIRA;1;1;0
ESCOLA MUNICIPAL ENGENHO DO MEIO;7;12;5
ESCOLA MUNICIPAL FLORESTAN FERNANDES;4;3;0
ESCOLA MUNICIPAL GENERAL EMIDIO DANTAS BARRETO;1;3;0
ESCOLA MUNICIPAL GENERAL SAN MARTIN;2;1;0
